name,kind,n_used,ate_kfold_shuffled,ate_tss,ate_delta,ci_width_kfold,ci_width_tss,sig_kfold,sig_tss,ci_width_delta,sig_flipped
journal_felt_motivated,binary,552,-1.2468040430526386,1.7821941576700602,3.0289982007226985,14.535941189967197,18.161440973980785,False,False,3.625499784013588,False
journal_masturbated,binary,340,-3.54597873038204,4.018190500994805,7.564169231376845,14.33857780279897,16.5602212151658,False,False,2.2216434123668307,False
is_rest_day,binary,552,-9.716416524045444,-7.258268292522763,2.4581482315226815,28.174156600275843,41.44956490440757,False,False,13.27540830413173,False
days_since_sauna,continuous,153,-4.710609896390663,-20.544184981590796,-15.833575085200133,28.011346170921094,38.13678735192386,False,True,10.125441181002763,True
medium_stress_duration_min,continuous,153,-7.138756955093517,-18.19479579525497,-11.056038840161452,26.53760096254954,68.12308788632404,False,False,41.5854869237745,False
sedentary_seconds,continuous,153,0.8744802575916283,8.768389851046676,7.893909593455048,24.61656033029343,52.44123466700007,False,False,27.824674336706636,False
body_battery_drained,continuous,153,-5.143469357763564,-13.943533430495123,-8.800064072731558,26.03946609994324,44.40472715968136,False,False,18.365261059738117,False
days_since_alcohol,continuous,153,2.8890205128119724,-4.582361994901014,-7.4713825077129865,25.75959466664095,31.465680467611968,False,False,5.706085800971017,False
fat_pct,continuous,153,-2.3705278005985786,-9.296887143850995,-6.926359343252416,24.574922762673648,41.53606512334342,False,False,16.961142360669772,False
body_battery_charged,continuous,153,2.50482590713831,-9.948993438712437,-12.453819345850746,24.31504917689049,39.34089224513643,False,False,15.02584306824594,False
rest_stress_duration_min,continuous,153,-4.710609896390663,-20.544184981590796,-15.833575085200133,28.011346170921094,38.13678735192386,False,True,10.125441181002763,True
mfp_calories,continuous,153,-0.9223012270463369,-0.23635668446941588,0.6859445425769211,23.33392281443507,50.486701393338556,False,False,27.152778578903487,False
net_calories,continuous,153,0.705585635358233,9.83742013976987,9.131834504411637,26.56595059794909,41.926842576547024,False,False,15.360891978597934,False
mfp_protein_g,continuous,153,-6.46121780918441,-33.06292286226916,-26.60170505308475,25.369852182278077,60.54833304515276,False,True,35.17848086287468,True
whoop_cycle_avg_hr,continuous,549,-17.457282809844735,-15.54541630395512,1.9118665058896145,11.441694831996607,11.114296618105259,True,True,-0.3273982138913478,False
rolling_7d_training_load,continuous,549,-19.53375325128735,-16.434308736352797,3.0994445149345538,11.817379245872827,10.818420443740266,True,True,-0.9989588021325613,False
whoop_kilojoule,continuous,470,1.457291189838711,-2.6311399481796696,-4.088431138018381,12.308834471294228,12.079479960865116,False,False,-0.22935451042911126,False
whoop_day_strain,continuous,552,-0.8594695561587207,-9.226904852023667,-8.367435295864947,12.819830162306978,11.19458938640793,False,True,-1.625240775899048,True
